Tot_ID,Loc,Date,Mo,QTR,I D,Sex,Age,Mass,FA,MFA,BCS,PregY,LactY,PupY,SeroPos,LUM,PCRPos,CHIP,CHIPY
343,FA,1-Jul-08,7,3,4_42,F,A,566,166,3.41,F,N,Y,N,Y,3320,0,17050098,1
344,FA,1-Jul-08,7,3,4_43,M,A,930,170,5.47,G,NA,NA,NA,Y,12124,0,17051839,1
345,FA,1-Jul-08,7,3,4_44,M,A,884,166,5.33,G,NA,NA,NA,Y,7351,0,17054534,1
346,FA,1-Jul-08,7,3,4_45,M,A,706,160,4.41,F,NA,NA,NA,Y,20054,0,81095300,1
347,FA,1-Jul-08,7,3,4_46,M,A,814,167,4.87,G,NA,NA,NA,N,396,0,17045066,1
348,FA,1-Jul-08,7,3,4_47,M,J,364,140,2.6,F,NA,NA,NA,Y,12079,0,17078589,1
349,FA,1-Jul-08,7,3,4_48,F,J,372,146,2.55,F,NA,NA,NA,N,100,0,17070011,1
350,FA,1-Jul-08,7,3,4_49,F,J,302,143,2.11,F,NA,NA,NA,Y,12917,0,17023004,1
351,FA,1-Jul-08,7,3,4_50,M,J,294,139,2.12,F,NA,NA,NA,N,69,0,17035599,1
352,FA,1-Jul-08,7,3,4_51,F,J,318,140,2.27,F,NA,NA,NA,N,283,0,17008360,1
353,FA,1-Jul-08,7,3,4_52,M,J,254,138,1.84,F,NA,NA,NA,N,384,0,17085126,1
354,FA,1-Jul-08,7,3,4_53,F,J,384,146,2.63,F,NA,NA,NA,N,149,0,17030315,1
355,FA,1-Jul-08,7,3,4_54,M,J,238,145,1.64,F,NA,NA,NA,N,426,0,17085330,1
356,FA,1-Jul-08,7,3,4_55,F,J,416,150,2.77,F,NA,NA,NA,N,245,0,17084626,1
357,FA,1-Jul-08,7,3,4_56,M,J,352,152,2.32,F,NA,NA,NA,Y,11629,0,17034545,1
358,FA,1-Jul-08,7,3,4_57,M,J,390,150,2.6,F,NA,NA,NA,N,95,0,17029346,1
359,FA,1-Jul-08,7,3,4_58,M,A,858,170,5.05,F,NA,NA,NA,Y,25514,0,99618528,1
360,FA,1-Jul-08,7,3,4_59,M,A,764,166,4.6,F,NA,NA,NA,Y,1370,0,17034041,1
361,FA,1-Jul-08,7,3,4_60,M,A,810,166,4.88,G,NA,NA,NA,N,205,0,17008010,1
362,FA,1-Jul-08,7,3,4_61,M,A,756,165,4.58,G,NA,NA,NA,Y,3128,0,17059549,1
363,FA,1-Jul-08,7,3,4_62,M,A,842,164,5.13,G,NA,NA,NA,Y,12961,0,104083112,1
364,FA,1-Jul-08,7,3,4_63,M,A,674,164,4.11,F,NA,NA,NA,Y,14442,0,17008359,1
365,FA,1-Jul-08,7,3,4_64,M,A,764,170,4.49,G,NA,NA,NA,Y,12907,0,80877779,1
366,FA,1-Jul-08,7,3,4_65,M,A,814,175,4.65,F,NA,NA,NA,Y,2694,0,17049552,1
367,FA,1-Jul-08,7,3,4_66,F,A,546,167,3.27,F,N,Y,N,N,237,0,17019087,1
368,FA,1-Jul-08,7,3,4_67,M,A,782,168,4.65,G,NA,NA,NA,N,421,0,17039577,1
369,FA,1-Jul-08,7,3,4_68,M,A,876,169,5.18,G,NA,NA,NA,Y,5665,0,17082314,1
370,FA,1-Jul-08,7,3,4_69,M,A,874,175,4.99,G,NA,NA,NA,Y,12780,0,99612776,1
371,FA,1-Jul-08,7,3,4_70,M,A,832,171,4.87,G,NA,NA,NA,Y,26772,0,80855347,1
372,FA,1-Jul-08,7,3,4_71,M,A,918,171,5.37,G,NA,NA,NA,Y,1738,0,17085456,1
373,FA,1-Jul-08,7,3,4_72,F,J,306,141,2.17,F,NA,NA,NA,N,71,0,17085446,1
374,FA,1-Jul-08,7,3,4_73,F,J,542,165,3.28,F,NA,NA,NA,N,352,0,17059282,1
375,FA,1-Jul-08,7,3,4_74,F,J,268,135,1.99,F,NA,NA,NA,N,107,0,17024530,1
376,FA,1-Jul-08,7,3,4_75,F,J,326,140,2.33,F,NA,NA,NA,Y,2055,0,17067371,1
377,FA,1-Jul-08,7,3,4_76,M,J,332,140,2.37,F,NA,NA,NA,N,110,0,17024291,1
378,FA,1-Jul-08,7,3,4_77,F,J,250,132,1.89,F,NA,NA,NA,Y,12671,0,17047352,1
379,FA,1-Jul-08,7,3,4_78,M,A,352,145,2.43,F,NA,NA,NA,N,54,0,17044540,1
380,FA,1-Jul-08,7,3,4_79,M,A,636,170,3.74,F,NA,NA,NA,Y,1421,0,17029525,1
381,FA,1-Jul-08,7,3,4_80,F,A,536,165,3.25,F,N,Y,N,Y,2880,0,17087122,1
382,FA,1-Jul-08,7,3,4_81,F,A,620,175,3.54,F,N,Y,N,Y,4621,0,17045378,1
383,FA,1-Jul-08,7,3,4_82,M,A,916,175,5.23,G,NA,NA,NA,Y,2094,0,99617067,1
384,FA,1-Jul-08,7,3,4_83,M,A,758,167,4.54,F,NA,NA,NA,Y,26584,0,17011819,1
385,FA,1-Jul-08,7,3,4_84,M,A,807,170,4.75,G,NA,NA,NA,N,441,0,99610890,1
386,FA,1-Jul-08,7,3,4_85,M,A,836,170,4.92,G,NA,NA,NA,Y,7063,0,17082605,1
387,FA,1-Jul-08,7,3,4_86,F,J,277,137,2.02,F,NA,NA,NA,N,51,0,17087547,1
388,FA,1-Jul-08,7,3,4_87,F,A,574,166,3.46,G,NA,NA,NA,N,128,0,17050330,1
389,FA,1-Jul-08,7,3,4_88,M,A,842,170,4.95,G,NA,NA,NA,Y,10878,0,17025831,1
390,FA,1-Jul-08,7,3,4_89,M,A,822,171,4.81,G,NA,NA,NA,N,176,0,17035343,1
391,FA,1-Jul-08,7,3,4_90,M,A,776,170,4.56,G,NA,NA,NA,Y,7222,0,99603528,1
392,FA,1-Jul-08,7,3,4_91,M,A,862,170,5.07,G,NA,NA,NA,Y,2553,0,17050830,1
393,FA,1-Jul-08,7,3,4_92,M,A,810,172,4.71,G,NA,NA,NA,Y,15132,0,17076370,1
394,FA,1-Jul-08,7,3,4_93,M,J,310,145,2.14,F,NA,NA,NA,N,53,0,17044782,1
395,FA,1-Jul-08,7,3,4_94,M,A,688,171,4.02,F,NA,NA,NA,Y,28064,0,17034819,1
396,FA,1-Jul-08,7,3,4_95,M,A,884,172,5.14,G,NA,NA,NA,Y,4080,0,17072079,1
397,FA,1-Jul-08,7,3,4_96,F,A,574,172,3.34,P,N,Y,N,Y,13083,0,17040612,1
398,FA,1-Jul-08,7,3,4_97,F,A,504,161,3.13,P,N,Y,N,N,142,0,17034541,1
399,FA,1-Jul-08,7,3,4_98,M,A,540,165,3.27,P,NA,NA,NA,N,942,0,17010841,1
400,FA,1-Jul-08,7,3,4_99,M,A,826,171,4.83,G,NA,NA,NA,Y,27418,0,17016800,1
401,FA,1-Jul-08,7,3,4_100,M,A,810,178,4.55,G,NA,NA,NA,Y,16502,0,17044006,1
402,FA,1-Oct-08,10,4,5_01,M,J,470,150,3.13,G,NA,NA,NA,N,112,0,17014821,1
403,FA,1-Oct-08,10,4,5_02,F,J,466,155,3.01,G,NA,NA,NA,Y,6838,0,17033093,1
404,FA,1-Oct-08,10,4,5_03,F,J,418,149,2.81,G,NA,NA,NA,N,63,0,17027525,1
405,FA,1-Oct-08,10,4,5_04,M,A,618,166,3.72,F,NA,NA,NA,Y,3501,0,17025321,1
